params_types_unique	return_types_unique	image_types	images_types	unsupported_types	first_image_param_names	subsequent_image_param_names	signatures	signatures_filtered
							getVersionString() -> str	matMulDeriv(A: UMat, B: UMat, dABdA: UMat | None, dABdB: UMat | None) -> tuple[UMat, UMat]
							getWindowImageRect(winname: str) -> cv2.typing.Rect	matchShapes(contour1: cv2.typing.MatLike, contour2: cv2.typing.MatLike, method: int, parameter: float) -> float
							getWindowProperty(winname: str, prop_id: int) -> float	matchShapes(contour1: UMat, contour2: UMat, method: int, parameter: float) -> float
							goodFeaturesToTrack(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, corners: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None, blockSize: int, useHarrisDetector: bool, k: float) -> cv2.typing.MatLike	matchTemplate(image: cv2.typing.MatLike, templ: cv2.typing.MatLike, method: int, result: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							goodFeaturesToTrack(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, corners: UMat | None, mask: UMat | None, blockSize: int, useHarrisDetector: bool, k: float) -> UMat	matchTemplate(image: UMat, templ: UMat, method: int, result: UMat | None, mask: UMat | None) -> UMat
							goodFeaturesToTrack(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, mask: cv2.typing.MatLike, blockSize: int, gradientSize: int, corners: cv2.typing.MatLike | None, useHarrisDetector: bool, k: float) -> cv2.typing.MatLike	max(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							goodFeaturesToTrack(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, mask: UMat, blockSize: int, gradientSize: int, corners: UMat | None, useHarrisDetector: bool, k: float) -> UMat	max(src1: UMat, src2: UMat, dst: UMat | None) -> UMat
							goodFeaturesToTrackWithQuality(image: cv2.typing.MatLike, maxCorners: int, qualityLevel: float, minDistance: float, mask: cv2.typing.MatLike, corners: cv2.typing.MatLike | None, cornersQuality: cv2.typing.MatLike | None, blockSize: int, gradientSize: int, useHarrisDetector: bool, k: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	mean(src: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> cv2.typing.Scalar
							goodFeaturesToTrackWithQuality(image: UMat, maxCorners: int, qualityLevel: float, minDistance: float, mask: UMat, corners: UMat | None, cornersQuality: UMat | None, blockSize: int, gradientSize: int, useHarrisDetector: bool, k: float) -> tuple[UMat, UMat]	mean(src: UMat, mask: UMat | None) -> cv2.typing.Scalar
							grabCut(img: cv2.typing.MatLike, mask: cv2.typing.MatLike, rect: cv2.typing.Rect, bgdModel: cv2.typing.MatLike, fgdModel: cv2.typing.MatLike, iterCount: int, mode: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	meanShift(probImage: cv2.typing.MatLike, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[int, cv2.typing.Rect]
							grabCut(img: UMat, mask: UMat, rect: cv2.typing.Rect, bgdModel: UMat, fgdModel: UMat, iterCount: int, mode: int) -> tuple[UMat, UMat, UMat]	meanShift(probImage: UMat, window: cv2.typing.Rect, criteria: cv2.typing.TermCriteria) -> tuple[int, cv2.typing.Rect]
							groupRectangles(rectList: _typing.Sequence[cv2.typing.Rect], groupThreshold: int, eps: float) -> tuple[_typing.Sequence[cv2.typing.Rect], _typing.Sequence[int]]	meanStdDev(src: cv2.typing.MatLike, mean: cv2.typing.MatLike | None, stddev: cv2.typing.MatLike | None, mask: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							hasNonZero(src: cv2.typing.MatLike) -> bool	meanStdDev(src: UMat, mean: UMat | None, stddev: UMat | None, mask: UMat | None) -> tuple[UMat, UMat]
							hasNonZero(src: UMat) -> bool	medianBlur(src: cv2.typing.MatLike, ksize: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							haveImageReader(filename: str) -> bool	medianBlur(src: UMat, ksize: int, dst: UMat | None) -> UMat
							haveImageWriter(filename: str) -> bool	min(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							haveOpenVX() -> bool	min(src1: UMat, src2: UMat, dst: UMat | None) -> UMat
							hconcat(src: _typing.Sequence[cv2.typing.MatLike], dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	minAreaRect(points: cv2.typing.MatLike) -> cv2.typing.RotatedRect
							hconcat(src: _typing.Sequence[UMat], dst: UMat | None) -> UMat	minAreaRect(points: UMat) -> cv2.typing.RotatedRect
							idct(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike	minEnclosingCircle(points: cv2.typing.MatLike) -> tuple[cv2.typing.Point2f, float]
							idct(src: UMat, dst: UMat | None, flags: int) -> UMat	minEnclosingCircle(points: UMat) -> tuple[cv2.typing.Point2f, float]
							idft(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int, nonzeroRows: int) -> cv2.typing.MatLike	minEnclosingTriangle(points: cv2.typing.MatLike, triangle: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike]
							idft(src: UMat, dst: UMat | None, flags: int, nonzeroRows: int) -> UMat	minEnclosingTriangle(points: UMat, triangle: UMat | None) -> tuple[float, UMat]
							illuminationChange(src: cv2.typing.MatLike, mask: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, alpha: float, beta: float) -> cv2.typing.MatLike	minMaxLoc(src: cv2.typing.MatLike, mask: cv2.typing.MatLike | None) -> tuple[float, float, cv2.typing.Point, cv2.typing.Point]
							illuminationChange(src: UMat, mask: UMat, dst: UMat | None, alpha: float, beta: float) -> UMat	minMaxLoc(src: UMat, mask: UMat | None) -> tuple[float, float, cv2.typing.Point, cv2.typing.Point]
							imcount(filename: str, flags: int) -> int	moments(array: cv2.typing.MatLike, binaryImage: bool) -> cv2.typing.Moments
							imdecode(buf: cv2.typing.MatLike, flags: int) -> cv2.typing.MatLike	moments(array: UMat, binaryImage: bool) -> cv2.typing.Moments
							imdecode(buf: UMat, flags: int) -> cv2.typing.MatLike	morphologyEx(src: cv2.typing.MatLike, op: int, kernel: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> cv2.typing.MatLike
							imdecodemulti(buf: cv2.typing.MatLike, flags: int, mats: _typing.Sequence[cv2.typing.MatLike] | None, range: cv2.typing.Range) -> tuple[bool, _typing.Sequence[cv2.typing.MatLike]]	morphologyEx(src: UMat, op: int, kernel: UMat, dst: UMat | None, anchor: cv2.typing.Point, iterations: int, borderType: int, borderValue: cv2.typing.Scalar) -> UMat
							imdecodemulti(buf: UMat, flags: int, mats: _typing.Sequence[cv2.typing.MatLike] | None, range: cv2.typing.Range) -> tuple[bool, _typing.Sequence[cv2.typing.MatLike]]	moveWindow(winname: str, x: int, y: int) -> None
							imencode(ext: str, img: cv2.typing.MatLike, params: _typing.Sequence[int]) -> tuple[bool, numpy.ndarray[_typing.Any, numpy.dtype[numpy.uint8]]]	mulSpectrums(a: cv2.typing.MatLike, b: cv2.typing.MatLike, flags: int, c: cv2.typing.MatLike | None, conjB: bool) -> cv2.typing.MatLike
							imencode(ext: str, img: UMat, params: _typing.Sequence[int]) -> tuple[bool, numpy.ndarray[_typing.Any, numpy.dtype[numpy.uint8]]]	mulSpectrums(a: UMat, b: UMat, flags: int, c: UMat | None, conjB: bool) -> UMat
							imencodemulti(ext: str, imgs: _typing.Sequence[cv2.typing.MatLike], params: _typing.Sequence[int]) -> tuple[bool, numpy.ndarray[_typing.Any, numpy.dtype[numpy.uint8]]]	mulTransposed(src: cv2.typing.MatLike, aTa: bool, dst: cv2.typing.MatLike | None, delta: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike
							imencodemulti(ext: str, imgs: _typing.Sequence[UMat], params: _typing.Sequence[int]) -> tuple[bool, numpy.ndarray[_typing.Any, numpy.dtype[numpy.uint8]]]	mulTransposed(src: UMat, aTa: bool, dst: UMat | None, delta: UMat | None, scale: float, dtype: int) -> UMat
							imread(filename: str, flags: int) -> cv2.typing.MatLike	multiply(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, scale: float, dtype: int) -> cv2.typing.MatLike
							imread(filename: str, dst: cv2.typing.MatLike | None, flags: int) -> cv2.typing.MatLike	multiply(src1: UMat, src2: UMat, dst: UMat | None, scale: float, dtype: int) -> UMat
							imread(filename: str, dst: UMat | None, flags: int) -> UMat	namedWindow(winname: str, flags: int) -> None
							imreadanimation(filename: str, start: int, count: int) -> tuple[bool, Animation]	norm(src1: cv2.typing.MatLike, normType: int, mask: cv2.typing.MatLike | None) -> float
							imreadmulti(filename: str, mats: _typing.Sequence[cv2.typing.MatLike] | None, flags: int) -> tuple[bool, _typing.Sequence[cv2.typing.MatLike]]	norm(src1: UMat, normType: int, mask: UMat | None) -> float
							imreadmulti(filename: str, start: int, count: int, mats: _typing.Sequence[cv2.typing.MatLike] | None, flags: int) -> tuple[bool, _typing.Sequence[cv2.typing.MatLike]]	norm(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, normType: int, mask: cv2.typing.MatLike | None) -> float
							imshow(winname: str, mat: cv2.typing.MatLike) -> None	norm(src1: UMat, src2: UMat, normType: int, mask: UMat | None) -> float
							imshow(winname: str, mat: cv2.cuda.GpuMat) -> None	normalize(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, alpha: float, beta: float, norm_type: int, dtype: int, mask: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							imshow(winname: str, mat: UMat) -> None	normalize(src: UMat, dst: UMat, alpha: float, beta: float, norm_type: int, dtype: int, mask: UMat | None) -> UMat
							imwrite(filename: str, img: cv2.typing.MatLike, params: _typing.Sequence[int]) -> bool	patchNaNs(a: cv2.typing.MatLike, val: float) -> cv2.typing.MatLike
							imwrite(filename: str, img: UMat, params: _typing.Sequence[int]) -> bool	patchNaNs(a: UMat, val: float) -> UMat
							imwriteanimation(filename: str, animation: Animation, params: _typing.Sequence[int]) -> bool	pencilSketch(src: cv2.typing.MatLike, dst1: cv2.typing.MatLike | None, dst2: cv2.typing.MatLike | None, sigma_s: float, sigma_r: float, shade_factor: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							imwritemulti(filename: str, img: _typing.Sequence[cv2.typing.MatLike], params: _typing.Sequence[int]) -> bool	pencilSketch(src: UMat, dst1: UMat | None, dst2: UMat | None, sigma_s: float, sigma_r: float, shade_factor: float) -> tuple[UMat, UMat]
							imwritemulti(filename: str, img: _typing.Sequence[UMat], params: _typing.Sequence[int]) -> bool	perspectiveTransform(src: cv2.typing.MatLike, m: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							inRange(src: cv2.typing.MatLike, lowerb: cv2.typing.MatLike, upperb: cv2.typing.MatLike, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	perspectiveTransform(src: UMat, m: UMat, dst: UMat | None) -> UMat
							inRange(src: UMat, lowerb: UMat, upperb: UMat, dst: UMat | None) -> UMat	phase(x: cv2.typing.MatLike, y: cv2.typing.MatLike, angle: cv2.typing.MatLike | None, angleInDegrees: bool) -> cv2.typing.MatLike
							initCameraMatrix2D(objectPoints: _typing.Sequence[cv2.typing.MatLike], imagePoints: _typing.Sequence[cv2.typing.MatLike], imageSize: cv2.typing.Size, aspectRatio: float) -> cv2.typing.MatLike	phase(x: UMat, y: UMat, angle: UMat | None, angleInDegrees: bool) -> UMat
							initCameraMatrix2D(objectPoints: _typing.Sequence[UMat], imagePoints: _typing.Sequence[UMat], imageSize: cv2.typing.Size, aspectRatio: float) -> cv2.typing.MatLike	phaseCorrelate(src1: cv2.typing.MatLike, src2: cv2.typing.MatLike, window: cv2.typing.MatLike | None) -> tuple[cv2.typing.Point2d, float]
							initInverseRectificationMap(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, R: cv2.typing.MatLike, newCameraMatrix: cv2.typing.MatLike, size: cv2.typing.Size, m1type: int, map1: cv2.typing.MatLike | None, map2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	phaseCorrelate(src1: UMat, src2: UMat, window: UMat | None) -> tuple[cv2.typing.Point2d, float]
							initInverseRectificationMap(cameraMatrix: UMat, distCoeffs: UMat, R: UMat, newCameraMatrix: UMat, size: cv2.typing.Size, m1type: int, map1: UMat | None, map2: UMat | None) -> tuple[UMat, UMat]	pointPolygonTest(contour: cv2.typing.MatLike, pt: cv2.typing.Point2f, measureDist: bool) -> float
							initUndistortRectifyMap(cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, R: cv2.typing.MatLike, newCameraMatrix: cv2.typing.MatLike, size: cv2.typing.Size, m1type: int, map1: cv2.typing.MatLike | None, map2: cv2.typing.MatLike | None) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	pointPolygonTest(contour: UMat, pt: cv2.typing.Point2f, measureDist: bool) -> float
							initUndistortRectifyMap(cameraMatrix: UMat, distCoeffs: UMat, R: UMat, newCameraMatrix: UMat, size: cv2.typing.Size, m1type: int, map1: UMat | None, map2: UMat | None) -> tuple[UMat, UMat]	polarToCart(magnitude: cv2.typing.MatLike, angle: cv2.typing.MatLike, x: cv2.typing.MatLike | None, y: cv2.typing.MatLike | None, angleInDegrees: bool) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							inpaint(src: cv2.typing.MatLike, inpaintMask: cv2.typing.MatLike, inpaintRadius: float, flags: int, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike	polarToCart(magnitude: UMat, angle: UMat, x: UMat | None, y: UMat | None, angleInDegrees: bool) -> tuple[UMat, UMat]
							inpaint(src: UMat, inpaintMask: UMat, inpaintRadius: float, flags: int, dst: UMat | None) -> UMat	pollKey() -> int
							insertChannel(src: cv2.typing.MatLike, dst: cv2.typing.MatLike, coi: int) -> cv2.typing.MatLike	pow(src: cv2.typing.MatLike, power: float, dst: cv2.typing.MatLike | None) -> cv2.typing.MatLike
							insertChannel(src: UMat, dst: UMat, coi: int) -> UMat	pow(src: UMat, power: float, dst: UMat | None) -> UMat
							integral(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sdepth: int) -> cv2.typing.MatLike	preCornerDetect(src: cv2.typing.MatLike, ksize: int, dst: cv2.typing.MatLike | None, borderType: int) -> cv2.typing.MatLike
							integral(src: UMat, sum: UMat | None, sdepth: int) -> UMat	preCornerDetect(src: UMat, ksize: int, dst: UMat | None, borderType: int) -> UMat
							integral2(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sqsum: cv2.typing.MatLike | None, sdepth: int, sqdepth: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]	projectPoints(objectPoints: cv2.typing.MatLike, rvec: cv2.typing.MatLike, tvec: cv2.typing.MatLike, cameraMatrix: cv2.typing.MatLike, distCoeffs: cv2.typing.MatLike, imagePoints: cv2.typing.MatLike | None, jacobian: cv2.typing.MatLike | None, aspectRatio: float) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike]
							integral2(src: UMat, sum: UMat | None, sqsum: UMat | None, sdepth: int, sqdepth: int) -> tuple[UMat, UMat]	projectPoints(objectPoints: UMat, rvec: UMat, tvec: UMat, cameraMatrix: UMat, distCoeffs: UMat, imagePoints: UMat | None, jacobian: UMat | None, aspectRatio: float) -> tuple[UMat, UMat]
							integral3(src: cv2.typing.MatLike, sum: cv2.typing.MatLike | None, sqsum: cv2.typing.MatLike | None, tilted: cv2.typing.MatLike | None, sdepth: int, sqdepth: int) -> tuple[cv2.typing.MatLike, cv2.typing.MatLike, cv2.typing.MatLike]	putText(img: cv2.typing.MatLike, text: str, org: cv2.typing.Point, fontFace: int, fontScale: float, color: cv2.typing.Scalar, thickness: int, lineType: int, bottomLeftOrigin: bool) -> cv2.typing.MatLike
							integral3(src: UMat, sum: UMat | None, sqsum: UMat | None, tilted: UMat | None, sdepth: int, sqdepth: int) -> tuple[UMat, UMat, UMat]	putText(img: UMat, text: str, org: cv2.typing.Point, fontFace: int, fontScale: float, color: cv2.typing.Scalar, thickness: int, lineType: int, bottomLeftOrigin: bool) -> UMat
							intersectConvexConvex(p1: cv2.typing.MatLike, p2: cv2.typing.MatLike, p12: cv2.typing.MatLike | None, handleNested: bool) -> tuple[float, cv2.typing.MatLike]	pyrDown(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dstsize: cv2.typing.Size, borderType: int) -> cv2.typing.MatLike
							intersectConvexConvex(p1: UMat, p2: UMat, p12: UMat | None, handleNested: bool) -> tuple[float, UMat]	pyrDown(src: UMat, dst: UMat | None, dstsize: cv2.typing.Size, borderType: int) -> UMat
							invert(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, flags: int) -> tuple[float, cv2.typing.MatLike]	pyrMeanShiftFiltering(src: cv2.typing.MatLike, sp: float, sr: float, dst: cv2.typing.MatLike | None, maxLevel: int, termcrit: cv2.typing.TermCriteria) -> cv2.typing.MatLike
							invert(src: UMat, dst: UMat | None, flags: int) -> tuple[float, UMat]	pyrMeanShiftFiltering(src: UMat, sp: float, sr: float, dst: UMat | None, maxLevel: int, termcrit: cv2.typing.TermCriteria) -> UMat
							invertAffineTransform(M: cv2.typing.MatLike, iM: cv2.typing.MatLike | None) -> cv2.typing.MatLike	pyrUp(src: cv2.typing.MatLike, dst: cv2.typing.MatLike | None, dstsize: cv2.typing.Size, borderType: int) -> cv2.typing.MatLike
							invertAffineTransform(M: UMat, iM: UMat | None) -> UMat	pyrUp(src: UMat, dst: UMat | None, dstsize: cv2.typing.Size, borderType: int) -> UMat
							isContourConvex(contour: cv2.typing.MatLike) -> bool	randShuffle(dst: cv2.typing.MatLike, iterFactor: float) -> cv2.typing.MatLike
							isContourConvex(contour: UMat) -> bool	randShuffle(dst: UMat, iterFactor: float) -> UMat
							kmeans(data: cv2.typing.MatLike, K: int, bestLabels: cv2.typing.MatLike, criteria: cv2.typing.TermCriteria, attempts: int, flags: int, centers: cv2.typing.MatLike | None) -> tuple[float, cv2.typing.MatLike, cv2.typing.MatLike]	randn(dst: cv2.typing.MatLike, mean: cv2.typing.MatLike, stddev: cv2.typing.MatLike) -> cv2.typing.MatLike
							kmeans(data: UMat, K: int, bestLabels: UMat, criteria: cv2.typing.TermCriteria, attempts: int, flags: int, centers: UMat | None) -> tuple[float, UMat, UMat]	randn(dst: UMat, mean: UMat, stddev: UMat) -> UMat
